City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hithadhoo,MV,-0.6,73.0833,80.78,75,95,5.39
1,Cape Town,ZA,-33.9258,18.4232,63.27,74,0,1.99
2,Punta Arenas,CL,-53.15,-70.9167,44.71,61,20,25.32
3,Aktau,KZ,43.65,51.2,90.18,44,6,13.09
4,Shingu,JP,33.7333,135.9833,79.92,83,96,7.11
5,Coahuayana,MX,18.7333,-103.6833,87.28,59,12,3.4
6,Georgetown,MY,5.4112,100.3354,84.13,81,20,2.3
7,Atuona,PF,-9.8,-139.0333,77.27,77,41,17.74
8,Hilo,US,19.7297,-155.09,71.8,88,90,6.91
9,Tanggu,CN,39.0211,117.6469,76.96,81,3,6.44
10,Hobart,AU,-42.8794,147.3294,49.26,79,100,4.0
11,Griffith,US,41.5284,-87.4237,77.05,51,1,1.01
12,Puerto Ayora,EC,-0.7393,-90.3518,76.96,80,86,11.92
13,Quesnel,CA,52.9999,-122.5029,64.9,88,75,4.61
14,Zonguldak,TR,41.25,31.8333,69.96,51,0,1.43
15,Souillac,MU,-20.5167,57.5167,67.35,82,20,6.91
16,New Norfolk,AU,-42.7826,147.0587,48.92,80,99,1.01
17,Mar Del Plata,AR,-38.0023,-57.5575,58.08,38,0,15.01
18,Tayshet,RU,55.9342,98.0044,55.2,94,56,3.76
19,Santa Isabel,BR,-23.3156,-46.2214,71.37,40,6,3.02
20,Kingman,US,35.1894,-114.053,93.18,27,1,4.0
21,Albany,US,42.6001,-73.9662,74.57,68,27,4.0
22,Port Alfred,ZA,-33.5906,26.891,57.83,78,75,15.68
23,Vaini,TO,-21.2,-175.2,68.16,77,20,10.36
24,Nikolskoye,RU,59.7035,30.7861,62.49,98,100,8.57
25,Tracy,US,37.7397,-121.4252,70.21,67,50,3.0
26,Mogadishu,SO,2.0371,45.3438,76.48,84,93,18.45
27,Airai,TL,-8.9266,125.4092,56.59,79,63,2.82
28,Qaanaaq,GL,77.484,-69.3632,45.34,64,100,4.47
29,Kasempa,ZM,-13.4584,25.8338,65.57,34,33,4.63
30,Yar-Sale,RU,66.8333,70.8333,55.6,89,99,7.49
31,Bafoulabe,ML,13.8065,-10.8321,84.24,72,90,6.87
32,Hambantota,LK,6.1241,81.1185,79.48,80,100,19.08
33,Barrow,US,71.2906,-156.7887,44.62,81,90,10.36
34,Severo-Kurilsk,RU,50.6789,156.125,50.67,86,89,19.84
35,Leshukonskoye,RU,64.8989,45.7622,59.2,92,70,1.77
36,Fort Nelson,CA,58.8053,-122.7002,69.39,73,20,2.3
37,Jamestown,US,42.097,-79.2353,71.29,57,40,3.0
38,Atar,MR,20.5169,-13.0499,101.28,24,57,13.35
39,Port Blair,IN,11.6667,92.75,81.99,83,100,18.75
40,Atambua,ID,-9.1061,124.8925,70.41,88,64,5.32
41,Rudbar,AF,30.15,62.6,92.75,11,0,17.83
42,Esperance,AU,-33.8667,121.9,49.84,77,93,9.24
43,Temir,KZ,49.1414,57.13,85.86,26,35,9.75
44,Itarema,BR,-2.9248,-39.9167,88.86,45,8,14.16
45,Lebu,CL,-37.6167,-73.65,55.85,72,45,20.56
46,Khatanga,RU,71.9667,102.5,62.96,65,98,10.16
47,Arraial Do Cabo,BR,-22.9661,-42.0278,80.56,68,20,17.27
48,Chuy,UY,-33.6971,-53.4616,58.68,74,31,6.73
49,Ancud,CL,-41.8697,-73.8203,51.33,89,96,6.4
50,Labuhan,ID,-6.8844,112.2051,76.93,84,30,8.5
51,Kieta,PG,-6.2167,155.6333,77.59,87,27,3.62
52,Bethel,US,41.3712,-73.414,76.78,66,1,8.05
53,Busselton,AU,-33.65,115.3333,45.09,74,91,5.44
54,Marawi,PH,7.9986,124.2928,70.65,89,100,4.76
55,Avarua,CK,-21.2078,-159.775,78.85,89,90,16.11
56,Constitucion,CL,-35.3333,-72.4167,61.92,52,0,12.44
57,Butaritari,KI,3.0707,172.7902,82.58,73,73,8.5
58,Panama City,PA,8.9936,-79.5197,89.06,71,40,8.05
59,Berlevag,NO,70.8578,29.0864,53.6,73,32,4.36
60,Upernavik,GL,72.7868,-56.1549,46.11,66,1,5.55
61,Tasiilaq,GL,65.6145,-37.6368,46.56,81,100,2.46
62,Portland,US,45.5234,-122.6762,74.61,73,75,4.0
63,Osmena,PH,10.5208,119.9258,82.27,76,98,4.09
64,North Bend,US,43.4065,-124.2243,58.86,100,90,9.22
65,Mataura,NZ,-46.1927,168.8643,44.47,96,100,3.47
66,Flin Flon,CA,54.7682,-101.865,75.04,57,90,3.44
67,Sisimiut,GL,66.9395,-53.6735,47.53,88,81,5.66
68,Rikitea,PF,-23.1203,-134.9692,68.61,56,71,23.13
69,Honiara,SB,-9.4333,159.95,74.98,88,33,5.14
70,Ushuaia,AR,-54.8,-68.3,46.06,53,40,4.61
71,Pisco,PE,-13.7,-76.2167,66.02,77,90,8.05
72,Bocas Del Toro,PA,9.3333,-82.25,88.07,74,90,8.81
73,Bluff,NZ,-46.6,168.3333,44.8,67,100,12.57
74,Cabo San Lucas,MX,22.8909,-109.9124,92.8,51,40,0.0
75,Dingle,PH,10.9995,122.6711,78.35,84,100,8.95
76,Mehamn,NO,71.0357,27.8492,53.55,62,20,5.75
77,Springbok,ZA,-29.6643,17.8865,60.58,22,0,5.01
78,San Martin,AR,-33.081,-68.4681,61.34,23,0,9.51
79,Zhirnovsk,RU,50.9845,44.7735,83.75,29,8,5.93
80,Castro,BR,-24.7911,-50.0119,65.48,51,9,3.49
81,Carnarvon,AU,-24.8667,113.6333,50.07,42,0,11.5
82,Tynda,RU,55.1667,124.7167,51.1,95,50,3.22
83,Saskylakh,RU,71.9167,114.0833,62.11,74,43,6.78
84,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,48.79,93,75,2.24
85,Fairbanks,US,64.8378,-147.7164,70.83,72,1,3.44
86,La Libertad,EC,-2.2333,-80.9,71.26,83,90,11.5
87,Iqaluit,CA,63.7506,-68.5145,46.13,100,90,4.61
88,Kaitangata,NZ,-46.2817,169.8464,48.92,68,100,12.55
89,Nushki,PK,29.5542,66.0215,86.02,9,21,3.38
90,Broken Hill,AU,-31.95,141.4333,44.31,81,0,12.66
91,Provideniya,RU,64.3833,-173.3,44.42,97,100,11.52
92,Auki,SB,-8.7676,160.7034,74.16,88,42,6.02
93,Luwuk,ID,-0.9516,122.7875,76.69,88,57,5.28
94,Maningrida,AU,-12.0667,134.2667,70.63,90,5,9.17
95,Bonthe,SL,7.5264,-12.505,80.89,64,91,10.18
96,Saint-Philippe,RE,-21.3585,55.7679,67.59,75,47,5.5
97,Hermanus,ZA,-34.4187,19.2345,58.8,87,0,9.19
98,Geraldton,AU,-28.7667,114.6,46.81,93,5,9.22
99,Mianyang,CN,31.4593,104.7542,79.36,73,1,2.39
100,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,76.89,82,32,16.44
101,Bud,US,39.447,-86.1758,75.15,60,1,5.93
102,Kautokeino,NO,69.0125,23.0412,51.66,50,7,15.95
103,Tuktoyaktuk,CA,69.4541,-133.0374,53.6,87,90,8.05
104,Chokurdakh,RU,70.6333,147.9167,35.22,81,10,7.67
105,Sinegorye,RU,62.0788,150.477,36.95,81,93,5.23
106,Innisfail,AU,-17.5333,146.0333,63.05,87,52,4.0
107,Acapulco,MX,16.8634,-99.8901,87.62,70,1,0.0
108,Port Hawkesbury,CA,45.6169,-61.3485,71.69,69,90,10.0
109,Fortuna,US,40.5982,-124.1573,54.52,100,90,0.0
110,Hidalgotitlan,MX,17.7833,-94.6333,87.82,69,54,6.67
111,Tahta,EG,26.7693,31.5021,105.91,12,0,8.1
112,Gladstone,AU,-23.85,151.25,59.79,88,0,0.0
113,Tiksi,RU,71.6872,128.8694,47.26,68,27,2.19
114,Grenaa,DK,56.4158,10.8783,68.22,68,44,5.82
115,Port Hardy,CA,50.6996,-127.4199,59.18,88,90,2.3
116,Port Elizabeth,ZA,-33.918,25.5701,59.29,77,90,12.66
117,Kidal,ML,18.4411,1.4078,99.79,26,94,8.43
118,Daru,PG,-9.0763,143.2092,76.21,75,100,10.11
119,Bredasdorp,ZA,-34.5322,20.0403,58.32,88,38,10.36
120,Makhachkala,RU,42.9764,47.5024,80.58,44,73,8.46
121,Abalak,RU,58.1286,68.5944,63.18,70,95,5.55
122,Podor,MR,16.6527,-14.9587,82.35,78,75,0.0
123,Caravelas,BR,-17.7125,-39.2481,74.37,55,99,8.55
124,Ostrovnoy,RU,68.0531,39.5131,61.41,81,60,11.39
125,Raudeberg,NO,61.9875,5.1352,62.2,73,21,23.8
126,Preobrazheniye,RU,42.9019,133.9064,68.18,92,98,5.39
127,Saint George,US,37.1041,-113.5841,88.36,40,1,1.01
128,Aitape,PG,-3.1374,142.3475,78.35,87,36,7.07
129,Wagga Wagga,AU,-35.1167,147.3667,48.61,100,90,5.75
130,Champoton,MX,19.35,-90.7167,86.02,51,88,1.05
131,Jieshi,CN,22.8134,115.8257,81.52,86,100,2.33
132,Mikhaylovskoye,RU,51.8239,79.7172,74.1,50,59,8.3
133,San Vicente,AR,-26.6167,-54.1333,68.63,29,0,3.56
134,Wajir,KE,1.7471,40.0573,83.12,43,25,17.18
135,Longyearbyen,SJ,78.2186,15.6401,46.24,76,75,16.11
136,Pangai,TO,-19.8,-174.35,73.0,67,60,16.4
137,Quatre Cocos,MU,-20.2078,57.7625,67.08,66,0,5.88
138,Usinsk,RU,65.9939,57.5281,58.69,70,44,7.18
139,Yulara,AU,-25.2406,130.9889,40.84,45,0,8.05
140,Thompson,CA,55.7435,-97.8558,69.96,60,20,6.91
141,Progreso,MX,21.2833,-89.6667,92.1,59,55,10.65
142,Tondano,ID,1.3038,124.9112,69.89,93,87,2.35
143,Cidreira,BR,-30.1811,-50.2056,60.66,68,19,9.46
144,Kashi,CN,39.4547,75.9797,73.26,68,20,11.18
145,Namibe,AO,-15.1961,12.1522,69.51,86,0,8.59
146,Bambous Virieux,MU,-20.3428,57.7575,67.21,82,20,6.91
147,Huambo,AO,-12.7761,15.7392,67.8,24,25,1.05
148,Ketchikan,US,55.3422,-131.6461,61.27,82,90,8.05
149,Dikson,RU,73.5069,80.5464,46.47,80,100,12.03
150,Pishin,PK,30.5803,66.9961,83.21,11,18,5.12
151,Beringovskiy,RU,63.05,179.3167,42.82,95,100,30.58
152,Korla,CN,41.7597,86.1469,83.39,17,100,2.57
153,Sao Filipe,CV,14.8961,-24.4956,76.89,78,60,6.2
154,Yabelo,ET,4.8833,38.0833,64.26,48,100,11.25
155,Howard Springs,AU,-12.497,131.047,76.91,93,7,3.4
156,Wewak,PG,-3.5534,143.6268,79.81,85,11,8.52
157,Brae,GB,60.3964,-1.353,53.51,71,100,6.53
158,Sakyla,FI,61.0333,22.3333,68.04,60,94,7.14
159,Karratha,AU,-20.7377,116.8463,64.49,21,0,16.13
160,Ponta Delgada,PT,37.7333,-25.6667,75.92,60,20,8.05
161,Mitsamiouli,KM,-11.3847,43.2844,76.96,71,13,7.4
162,Sitka,US,57.0531,-135.33,62.49,77,75,3.44
163,Wanaka,NZ,-44.7,169.15,39.15,94,100,5.35
164,Sept-Iles,CA,50.2001,-66.3821,70.32,69,75,4.0
165,Kirakira,SB,-10.4544,161.9205,74.01,79,68,8.57
166,Yellowknife,CA,62.456,-114.3525,75.72,57,40,10.36
167,Codrington,AU,-38.2667,141.9667,45.27,94,100,10.29
168,San Carlos De Bariloche,AR,-41.1456,-71.3082,61.45,32,40,23.02
169,Morondava,MG,-20.2833,44.2833,74.26,67,16,13.69
170,Aljezur,PT,37.3191,-8.8033,70.99,74,79,12.37
171,Hofn,IS,64.2539,-15.2082,53.62,87,90,10.36
172,Edson,CA,53.5835,-116.4356,66.31,94,75,4.61
173,Shirokiy,RU,49.758,129.523,64.89,99,100,7.07
174,Nanortalik,GL,60.1432,-45.2371,46.92,85,91,2.68
175,Ostrow Wielkopolski,PL,51.655,17.8069,67.01,58,68,9.04
176,Kloulklubed,PW,7.0419,134.2556,81.1,77,99,13.47
177,Canon City,US,38.441,-105.2424,78.28,51,1,1.01
178,Zavodoukovsk,RU,56.5042,66.5515,66.54,59,85,4.38
179,Kapaa,US,22.0752,-159.319,79.12,75,90,5.01
180,Mashhad,IR,36.297,59.6062,84.34,23,0,9.22
181,Hervey Bay,AU,-25.2986,152.8535,68.04,90,2,9.71
182,Tambopata,PE,-12.7333,-69.1833,80.49,34,0,8.05
183,Talnakh,RU,69.4865,88.3972,66.18,54,96,3.76
184,Varazdin,HR,46.3044,16.3378,78.89,44,34,2.68
185,Biak,ID,-0.9131,122.8766,75.81,85,66,7.2
186,Barabash,RU,43.2,131.4833,71.28,98,96,4.52
187,Talara,PE,-4.5772,-81.2719,74.16,68,0,20.71
188,Kysyl-Syr,RU,63.8986,122.7617,61.65,42,48,6.4
189,Oxford,GB,51.7522,-1.256,66.06,79,75,8.05
190,Santa Marta,CO,11.2408,-74.199,83.98,79,100,4.0
191,Nara,JP,34.6851,135.8049,83.91,94,90,4.36
192,Vostok,RU,46.4856,135.8833,65.01,92,49,2.53
193,Sorland,NO,67.667,12.6934,49.86,71,98,9.22
194,Khuzhir,RU,53.1939,107.3397,55.27,95,100,5.82
195,Makaryev,RU,57.8797,43.8069,73.53,69,87,6.2
196,Victoria,HK,22.2855,114.1577,86.38,85,100,1.01
197,Bairnsdale,AU,-37.8333,147.6167,42.71,80,86,2.59
198,Shitanjing,CN,39.2342,106.3439,65.95,61,100,11.63
199,Kisumu,KE,-0.1022,34.7617,73.2,64,75,4.61
200,Stephenville,US,32.2207,-98.2023,77.34,83,90,9.22
201,Elmadag,TR,39.9208,33.2308,89.89,26,0,3.87
202,Motygino,RU,58.1831,94.7592,54.19,96,68,1.72
203,Culaman,PH,5.9603,125.6586,80.67,77,99,5.32
204,Panaba,MX,21.2833,-88.2667,94.17,41,6,6.06
205,Tuy Hoa,VN,13.0833,109.3,85.98,61,100,15.77
206,Corrales,US,35.2378,-106.6067,75.97,74,90,5.75
207,Ecublens,CH,46.529,6.5626,72.45,53,8,3.38
208,Belvedere Marittimo,IT,39.6179,15.8617,82.06,54,4,6.04
209,Olafsvik,IS,64.8945,-23.7142,53.76,82,100,2.64
210,Port-Gentil,GA,-0.7193,8.7815,78.76,73,90,9.22
211,Tallahassee,US,30.4383,-84.2807,93.0,65,40,5.99
212,Shelbyville,US,35.4834,-86.4603,82.02,64,20,3.0
213,Narrabri,AU,-30.3167,149.7833,60.53,82,90,18.41
214,Yanzhou,CN,35.5528,116.8286,74.84,84,2,4.29
215,Naze,JP,28.3667,129.4833,78.01,87,30,17.43
216,Khao Yoi,TH,13.2403,99.8243,85.89,65,94,7.96
217,Coos Bay,US,43.3665,-124.2179,78.01,100,90,9.22
218,Husavik,IS,66.0449,-17.3389,58.91,75,89,4.61
219,Karakol,KG,42.4907,78.3936,61.38,52,97,3.18
220,Katsuura,JP,35.1333,140.3,81.19,91,90,10.36
221,Matay,EG,28.419,30.7792,98.02,14,0,8.16
222,Bubaque,GW,11.2833,-15.8333,78.19,86,100,21.45
223,Berbera,SO,10.4396,45.0143,93.7,38,29,23.58
224,Zhigansk,RU,66.7697,123.3711,62.26,61,1,10.04
225,Puerto Carreno,CO,6.189,-67.4859,72.63,93,100,9.06
226,Adrar,MR,20.5022,-10.0711,100.81,23,15,10.47
227,Kodiak,US,57.79,-152.4072,53.11,94,90,6.91
228,Ahipara,NZ,-35.1667,173.1667,54.12,71,9,24.34
229,Avera,US,33.194,-82.5271,89.91,43,84,3.33
230,Kendari,ID,-3.945,122.4989,73.96,93,19,3.51
231,Omboue,GA,-1.5746,9.2618,79.47,70,28,8.48
232,Lakes Entrance,AU,-37.8811,147.981,42.19,64,89,4.81
233,Grebenskaya,RU,43.5317,46.3733,87.73,38,37,6.91
234,Ilulissat,GL,69.2167,-51.1,60.82,39,75,11.5
235,Muhos,FI,64.808,25.9931,60.58,79,100,1.86
236,Te Anau,NZ,-45.4167,167.7167,38.86,91,100,2.64
237,Gat,IL,31.61,34.7642,92.39,40,0,9.17
238,Aklavik,CA,68.2191,-135.0107,62.6,82,75,3.44
239,Requena,ES,39.4883,-1.1004,75.29,51,54,14.79
240,Weyburn,CA,49.6668,-103.8511,84.18,32,65,3.44
241,Ballina,AU,-28.8667,153.5667,64.36,94,90,8.05
242,Pasvalys,LT,56.0594,24.4036,67.32,85,100,8.16
243,Bathsheba,BB,13.2167,-59.5167,86.61,70,20,11.5
244,Salou,ES,41.0766,1.1416,85.24,55,20,3.0
245,Opuwo,NA,-18.0607,13.84,70.14,23,0,5.17
246,Saint Anthony,US,45.0205,-93.218,81.25,46,1,4.0
247,Comodoro Rivadavia,AR,-45.8667,-67.5,62.46,42,0,17.27
248,Bereda,ES,43.2686,-7.5406,72.41,65,41,7.34
249,Dharan,NP,26.8125,87.2835,78.03,87,78,2.19
250,Tandil,AR,-37.3217,-59.1332,57.31,53,2,5.01
251,Kuusamo,FI,65.9667,29.1833,59.04,58,0,5.75
252,Roros,NO,62.5747,11.3842,49.84,66,75,12.66
253,Kununurra,AU,-15.7667,128.7333,73.38,78,75,3.44
254,Norman Wells,CA,65.282,-126.8329,68.04,68,20,3.44
255,Santa Rosa,PH,14.3122,121.1114,82.9,82,100,15.7
256,Memari,IN,23.2,88.1167,87.66,85,100,7.11
257,Alpena,US,45.0617,-83.4327,70.12,56,20,8.05
258,La Asuncion,VE,11.0333,-63.8628,85.73,74,4,9.22
259,Luderitz,NA,-26.6481,15.1594,68.9,37,0,5.35
260,Jalu,LY,29.0331,21.5482,102.16,8,4,9.69
261,Zhengjiatun,CN,43.5064,123.5064,65.23,93,100,4.99
262,Mahonda,TZ,-6.45,39.4667,77.56,78,13,16.06
263,Puerto Narino,CO,-3.7703,-70.3831,85.95,36,68,3.85
264,Ribeira Grande,PT,38.5167,-28.7,77.4,78,40,8.05
265,Hay River,CA,60.8156,-115.7999,75.29,46,0,4.47
266,Viedma,AR,-40.8135,-62.9967,67.32,23,30,23.04
267,Pacifica,US,37.6138,-122.4869,68.43,77,75,3.0
268,Sao Felix Do Xingu,BR,-6.6447,-51.995,97.39,21,5,7.11
269,Vikindu,TZ,-7.0067,39.2985,76.64,73,75,13.8
270,Morehead,US,37.2711,-87.1764,79.11,54,1,1.01
271,Staryy Nadym,RU,65.6118,72.6842,59.49,77,100,8.05
272,Lockhart,US,28.6194,-81.4426,94.26,67,20,3.0
273,Lagoa,PT,39.05,-27.9833,72.55,86,0,7.09
274,North Platte,US,41.1239,-100.7654,79.02,52,1,5.01
275,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.29,65,8,10.85
276,Gao,ML,16.6362,1.637,98.82,28,88,10.0
